Nie bój się!	Niy bōj sie!
Wybiegli na ulicę z okiennicami — raz, dwa, trzy — już je włożyli — cztery, pięć, sześć — zamknęli i zaryglowali — siedem, osiem, dziewięć — zanim mogłeś doliczyć do dwunastu, już wrócili, dysząc jak konie wyścigowe.	Polecieli na dwōr z ôkynnicami – rŏz, dwa, trzi – były na ôknach – sztyry, piyńć, szejś – wszyjske prziszrubowane – siedym, ôziym, dziewiyńć – i byli nazŏd podwiela byście porachowali do dwanŏstu, a dychali choby wyścigowe kōnie.
Scrooge upadł wtedy na kolana i zasłonił twarz dłońmi.	Scrooge dyrgoł, skłōniōł sie przed duchym i wlepiōł ôczy w ziymiã.
Muzyka jednak nie zajęła całego wieczoru.	Ôni ale niy przepyndziyli cołkigo wieczora przi muzyce.
Cóż one dobrego przyniosły mu kiedykolwiek?	Co mu ône dobrego prziniosły?
— To są tylko cienie przeszłości, cienie rzeczy, które kiedyś istniały — rzekł Duch. — Nas te istoty nie przeczuwają nawet.	– To sōm ino ciynie tego, co było – pedzioł duch. – Niy widzōm nŏs.
Scrooge nie śmiał roztrząsać tych pytań.	– To niyma moja sprawa – ôdpedzioł Scrooge. – Czowiek mŏ za wiela włŏsnych problymōw, coby jeszcze starać sie nad tymi ôd inszych.
Chwila jeszcze, biała koszulka znikła, już tylko jedna bosa nóżka wystaje za progiem.	Chwila jeszcze, bioło koszulka znikła, już ino jedna boso nōżka wystowo za progym.
Nikt nigdy nie zatrzymał go na ulicy z uśmiechem przyjaznym, aby powiedzieć: „Mój kochany Scrooge, jak się masz?	Żŏdyn niy zastawiōł go na ulicy, coby pedzieć „Mōj zŏcny Scrooge, co tam u wŏs?
Państwo od dawna siedzieli za granicą, dom stał pustkami, więc lokaj przesiadywał na drugiej stronie u panny pokojowej.	Pōn i pani downo siedzieli za granicōm, dōm stoł prōzny, tōż bedynter przesiadowoł na drugij strōnie u bedynterki.
Duch, stojąc wśród mogił, wskazywał na jedną z nich.	Duch stanōł postrzōd grobōw i skŏzoł na jedyn.
Kiedy czarownica chciała się dostać do dziewczynki, stawała pod wieżą i wołała:	Kedy czarownica chciała wlyź do postrzodka, to stŏwała pod nim i wołała:
Nie obiecywali sobie nawet ludzie, że się wychowa, a jeszcze mniej, żeby matka mogła doczekać się z niego pociechy, bo i do roboty był ladaco.	Niy ôbiecowali sie ani ludzie, iże sie wychowie, a jeszcze mynij, coby matka mogła doczekać sie z niego pociechy, bo i do roboty bōł nicpotok.
Indyk jest co najmniej dwa razy tak duży, jak Mały Tim.	Je dwa razy taki, jak mały Tim.
Scrooge z przerażeniem przysłuchiwał się tej rozmowie.	Kaj Scrooge słyszoł te słowa?
No, tymczasem do widzenia, moi panowie.	Dobryj nocy, panowie!
— Kto tam?— krzyknął Fred. — Któż, u Boga?	– Co to je? – ôdpedzioł Fred.
Mógłby kto pomyśleć, że znał naszego Małego Tima i że żałuje go na równi z nami.	Zdŏwało sie, choby znoł naszego małego Tima i nŏs żałowoł.
Potem Bob wzniósł toast:	Bob mioł ino piytnŏście szylingōw na tydziyń.
Marta, która pracowała u modniarki, opowiadała, jak wiele teraz ma do roboty, ile to godzin w porze większego ruchu musi pracować i że zamierza jutro wyspać się za wszystkie czasy; jutro bowiem miała dzień zupełnie wolny.	Marta, co była biydnōm pōmōcnicōm u kłobukŏrza, pedziała im wtynczŏs, jakõ robotã musi robić, wiela godzin robiyła bez pauzy, i jak chciała jutro bez cołke rano ôstać we łōżku, coby do porzōndku dychnōńć.
Drób gdakał i gospodarował po stajniach, a spichrze, wozownie i szopy porosły chwastem.	Ptŏki ćwiyrkały i łaziyły po masztalniach, a rymizy i kolnie porosły trŏwōm.
Pozostałe ćwierć godziny tak mu się dłużyło, iż zdawało mu się, że chyba zdrzemnął się i przespał uderzenie zegara.	Sztwierć godziny zdŏwała sie takŏ dugŏ, iże pŏrã razy myśloł, iże przisnōł i niy usłyszoł zygara.
— Dotknę cię moją ręką ot tutaj — rzekł Duch, kładąc rękę na sercu Scrooge'a — a dotknięcie to sprawi, że wytrzymasz cięższe jeszcze próby.	– Duchu – pedzioł Scrooge spolygliwie – kludź mie kaj chcesz.
Za życia wszystkich odtrącał od siebie, żebyśmy mogli pożywić się trochę po jego śmierci.	Kożdego ôdstraszoł za żywobyciŏ, ale po śmierci prziniōs nōm profit!
Gdyby Scrooge był zauważył, że siedziała w wygodnym fortelu, ze stołeczkiem pod nogami, przypatrując się z całą uwagą nakryciu, nigdy nie ośmieliłby się jej zaniepokoić w ten sposób.	Scrooge postawiōł to pytanie, pōniywŏż niy wiedzioł, jeźli takŏ przejzdrzistŏ mŏra poradzi siedzieć i zdŏwało mu sie, iże jakby niy mogła, musiałaby to z gańbōm wytuplikować.
Mały Tim wypił ostatni, ale nie dodał do tego żadnej uwagi.	Mały Tim wypiōł ôstatni, ale za ceski w tym ymocyji niy było.
— Mogę.	– Mogã.
Scrooge wrócił do Ducha i udał się posłusznie za nim, starając się rozwiązać w myśli pytanie: dlaczego nie zobaczył siebie w kantorze i co się z nim stać mogło?	Scrooge przeprosiōł, prawiōł, co niy chcioł zgorszyć ducha, i spytoł, co przikludziyło go do niego.
Siostrzenica Scrooge'a drgnęła, jakby wstrząśnięta niewymownie przykrym uczuciem.	Scrooge cŏfnōł sie zlynkniōny.
A ja właśnie tym grzeszyłem!	I pedzioł, że ja!
Nieprawda?	Niy?
— Być może… a nawet jestem przekonana, że zerwanie zaboli cię.	– Może cie to boleć.
— Zdaje się, że mam przed sobą Ducha Przyszłych Wigilii? — wyszeptał nieśmiało Scrooge.	– Nawiydzŏ mie Duch Prziszłych Godōw? – pedzioł Scrooge.
— Droga żono — powtórzył Bob — dziś święto Bożego Narodzenia!	– Toch je rŏd – pedzioł Bob – fest rŏd!
Dawne „ja” Scrooge'a znacznie urosło w tej chwili, a izba szkolna stała się jeszcze ciemniejsza i brudniejsza.	Mody Scrooge urōs trochã, a izba zrobiyła sie barzij ciymnŏ i czŏrnŏ.
— Sama nie wierzysz w to, co mówisz.	– Niy wierzisz wy mie – dojzdrzoł.
Życzę panu wesołych świąt.	Radosnych Godōw wszyjskim!
Na progu kredensowym słychać szybki oddech chorych piersi dziecka.	Na kredynsowym progu słychać gibki dych niymocnych piersi ôd bajtla.
— Czy ją poznaję?! — zawołał Scrooge z zapałem. — Mógłbym iść po niej z zawiązanymi oczami!	– Pamiyntōm? – krziknōł Scrooge ze ynergijōm. – Jŏ mogã sam iść na ślepo!
— Gdyby ten podły kutwa chciał ochronić swoje rzeczy od zmarnowania po jego śmierci — mówiła posługaczka — mógł uczynić to bardzo łatwo, postępując jak wszyscy uczciwi ludzie.	– By sie je chcioł stary szczyńdzipiyntŏk ôstawić po śmierci – prawiyła dalij baba – to pojakymu niy bōł normalny, jak żōł?
— Dzisiejszej nocy!… — powtórzył Scrooge.	– Dzisiej na wieczōr! – krziknōł Scrooge.
Najmniejsze echo w tej pustce, pisk i bieganie myszy za obiciem ścian, krople spadające z na wpół odmarzniętej rynny gdzieś w tylnej części podwórza, słaby szmer bezlistnych gałęzi smutnej topoli, skrzypienie drzwi pustego spichrza, wiszących na naderwanym zawiasie, pryskanie dogasającego na kominku ognia — wszystkie te szmery i odgłosy spadały niby balsam kojący na duszę Scrooge'a, przynosząc mu ulgę i wyciskając coraz obfitsze strumienie łez.	Niy skryte echo we chałpie, niy piskanie myszy pod dylōwkami, niy wiater postrzōd bezlistnych gałyńzi ôd tŏpōla we zygrodzie za ôknym, niy lŏtanie dźwiyrzi ze pustego werku tam a nazŏd, niy, niy trzaskanie we ôgniu, ale cosik chyciyło Scrooge’a za serce i wyciskało ś niego wiyncyj a wiyncyj płaczek.
Wtedy Scrooge przypomniał sobie, że duchy w nawiedzanych przez nie domach zjawiają się zwykle, wlokąc za sobą łańcuchy.	Scrooge wtynczŏs spōmnioł sie, co słyszoł, iże mŏry we nawiydzōnych dōmach ôpisuje sie, co ciōngnōm ze sobōm kety.
Tu Scrooge coś mu szepnął do ucha.	Scrooge pedzioł, co prziszołby dō niego.
Królewicz poznał jej głos, a gdy się zbliżył do niej i ona go poznała, padła mu na szyję i zapłakała.	Usłyszoł głos, co mu sie zdoł taki znajōmy, iże poszoł w jego kerōnku, a kej sie zbliżōł, to Repōnczka poznała go, chyciyła za kark i zapłakała.
— Jakiegoż pragniesz dowodu mego istnienia, oprócz dowodu twoich własnych zmysłów?	– Jake świadectwo mŏsz ô mojij istności ôkrōm twojich zmysłōw?
— Ależ to nie o to chodzi — zaoponował Scrooge, podniecony wspomnieniem, a potem mówił dalej, sam nie wiedząc, że wypowiada przekonania dawnego Scrooge'a. — To nie o to chodzi, Duchu.	– Nic takigo – pedzioł Scrooge.
Wszedł do kościoła, potem przeszedł kilka ulic, uważnie obserwując spotykanych ludzi.	Poszoł do kościoła, łaziōł po ulicach, ôglōndoł ludzi lŏtać tam a nazŏd, klupoł bajtle po gowach, gŏdoł z żebrŏkami, dziwoł sie do kuchni we chałpach i do ôkyn, i spōmiarkowoł sie, co wszyjsko mu przinosi uciechã.
— Drugi zjawi się następnej nocy, o tej samej godzinie.	– Drugŏ przidzie do ciebie w dalszõ noc ô tyj samyj godzinie.
Ja właśnie byłem taki za życia!	Ale takich jŏ bōł!
Scrooge, nie mając pod ręką żadnej odpowiedzi, powtórzył znowu:	Scrooge wyglōndoł zeszterowany i ôdpedzioł ino:
Scrooge spojrzał na Ducha; ręka jego wskazywała głowę trupa.	Ciało mioł przejzdrziste, tōż Scrooge widzioł dwa knefle na zadku kabŏta.
Jej rachunek również został zapisany na ścianie.	Ôd nij kōnto było tak samo zapisane na tabuli na ścianie.
— Ale ty, przyjacielu — rzekł Scrooge — nie dodźwigasz go do Camden Town.	– Przecã tego niy pōdzie dōniyść na Camden Town – pedzioł Scrooge. – musicie weznōńć taksōwkã.
— Duchu — szepnął Scrooge drżącym głosem — uprowadź mnie stąd…	– Duchu! – pedzioł Scrooge ze złōmanym głosym. – Weź mie stōnd.
Scrooge nigdy nie miał skłonności do żartów, a w tej chwili więcej jeszcze niż kiedykolwiek był daleki od żartobliwego usposobienia.	Scrooge radszyj nigdy niy gŏdoł na szpas, ani niy bōł we launie do tego terŏz.
Duch jednak, będąc silniejszy od niego, wyrwał ją.	Duch bōł ale siylniyjszy i ôdsztuchnōł go.
Jakże one skrzypią… Sądzę, że w całym moim składzie nie można byłoby znaleźć równie zardzewiałych i skrzypiących zawiasów jak zawiasy tych drzwi, i równie starych kości jak moje właśnie.	Niy ma sam barzij zarōściałego kōncka metalu aniżeli te zŏwiasy, ani kości takich starych jak moje.
— Gdzie jesteśmy? — zapytał Scrooge.	– Kaj my sōm? – spytoł Scrooge.
Błąkał się po lesie, żywiąc się jagodami i korzonkami i płacząc po stracie ukochanej.	Potym tułoł sie po lesie blank ślepy, niy jŏd nic ôkrōm korzyni i jagōd, i niy robiōł nic, ino lamyntowoł i płakoł nad stratōm umiyłowanyj kobiyty.
— Umarła zamężna i zostawiła, o ile mi się zdaje, dzieci — rzekł Duch.	– Umarła majorynt – pedzioł duch – a zdŏ sie, iże miała jake bajtle.
— Tak, dziś o północy.	– Dzisiej ô pōłnocy.
Oj!	Ach!
Obraz zmienił się nagle i Scrooge znalazł się tuż przy łóżku bez kotar, na którym, pod dziurawym, brudnym prześcieradłem, leżało coś, a chociaż się nie poruszało, jednak dosadnie, w sposób straszny wyjaśniało to wszystko, co przed chwilą widział i słyszał.	Kej bōł blisko, Scrooge klynknōł na kolano przed nim, bo we lufcie, co bez niego mŏra przełaziyła, zdały sie roztopiyrzać mrokew i tajymnica.
Mijalibyśmy się z prawdą, utrzymując, że Scrooge nie był tym zjawiskiem wstrząśnięty i że nie doznał uczucia przerażenia, które mu było obce od dzieciństwa.	Niy bydã ryzykować takigo gŏdaniŏ ô Scrooge’u, ale wierzcie mi, że bōł przirychtowany na siyłã cudacznych ukŏzōw, i nic miyndzy niymowlyńciym i nosorożcym niy udziywiyłoby go.
I udało mu się to.	I zaś zapłakoł.
Wiwat!	Uf!
— Poczciwa!	– Ôstŏw mie!
Bob z ożywieniem opowiadał o szczególnej życzliwości, jaką mu okazał siostrzeniec Scrooge'a, którego spotkał na ulicy.	Bob pedzioł im ô wielkij uprzyjmości siostrzyńca ôd pana Scrooge’a, z kerym sie widzioł przōdzij ino rŏz, a kery jak dojzdrzoł, iże ôn je troszkã zestarany, pytoł, co sie stało, coby go pocieszyć. „Tōż”, pedzioł Bob, „pōniywŏż je to nojmiylszy czowiek, jakigo idzie trefić, to żech mu pedzioł. »Naprŏwdã szczyrze mi przikro, panie Cratchit«, pedzioł, »i żŏl mi waszyj dobryj ślubnyj«.
Nie!” Janek już w kredensie.	Niy!” Jōnek już w kredyńsie.
— Dotknij ręką mojej szaty — odezwał się Duch.	– Twoje szczyńście – pedzioł duch.
Czy mogę wejść?	Wpuścisz mie?
Przed wejściem poza bramę Scrooge uważnie przyjrzał się miejscu.	Za ciymno, coby jã dobrze ôbejzdrzeć, ale Scrooge ôglōndoł sie naôbkoło ciekawy, coby wiedzieć, co to była za izba.
Spóźnił się o całe osiemnaście i pół minuty.	Prziszoł cołke ôziymnŏście i pōł minuty po czasie.
— Kiedy? — zapytał inny.	– Kedy umar? – spytoł inkszy.
Duch zatrzymał się przy niewielkiej gromadce kapitalistów, a Scrooge, zauważywszy, że ręka jego właśnie tę gromadkę wskazuje, przybliżył się i usłyszał następującą rozmowę:	Duch stanōł przi dźwiyrzach jednego ze werkōw a spytoł Scrooge’a, jeźli je znoł.
Czy czary jakie, czy co?… Ale te skrzypce w jasności czasem zdawały się przybliżać, jakoby płynąc ku dziecku… Chwilami przygasały, aby znowu rozpromienić się jeszcze bardziej.	Czary jake abo co?… Ale ta skrzipka we jasności niyroz zdowała sie przibliżać, choby płynyła ku dziecku… Roz za kedy przigasały, coby zaś ôzpromiynić sie jeszcze barzij.
Kopciuszek pobiegła im otworzyć.	Popieluszka poszła im ôtworzić.
— Kto jesteś?	– Kogo?
Scrooge z trudnością oderwał od nich oczy, a zwłaszcza żal mu było rozstawać się z Małym Timem.	Scrooge patrzoł na nich, a nojbarzij na małego Tima aż do samego kōńca.
Kot tylko drapał do drzwi i gdzieś pod podłogą gospodarowały myszy.	Kot szkroboł we dźwiyrze, a pod kōminkym przegryzały sie szczury.
— Słuchaj mnie — zawołał duch. — Czas mój prawie już upłynął.	– Czas mi sie kōńczy – powiedzioł duch. – Wartko!
W schowanku nic osobliwego.	Niy było nic niyôbyczajnego w tym wszyjskim.
Zwrócił się ku Duchowi, a zauważywszy, że na obliczu jego w niepojęty sposób odbiły się poszczególne rysy wszystkich tych twarzy, które niedawno widział — rzucił się na niego z krzykiem rozpaczliwym:	Ôbrōciōł sie do ducha i dojzdrzoł, co jego twarz jakoś skłŏdŏ sie ze wszyjskich gymbōw, co ôn mu pokŏzoł.
— Niech Bóg błogosławi nas wszystkich i każdego z osobna! — rzekł ostatni Mały Tim.	– Niych kożdego Bōg bogosławi! – pedzioł mały Tim, ôstatni.
Ciemność i mgła znikły razem z miastem, jaśniał teraz mroźny, lecz pogodny dzień zimowy: Ziemię pokrywał całun śniegu.	Ćma i mgła straciyły sie społym ś nim, bo terŏz to bōł jasny, zimowy dziyń ze śniegym na ziymi.
— Słyszałem o tym.	– Już wiym!
— Obowiązkiem każdego człowieka jest — odparło widmo — ażeby jego dusza zjednoczyła się z duszą jego bliźnich i pozostawała w braterskiej z nimi łączności przez cały czas wędrówki ziemskiej.	– Kożdy czowiek – zaczōn duch – musi żyć ze swojōm familijōm, przŏcielami i kamratami, musi im pōmŏgać i być we jejich żywobyciu, musi rajzować i uczyć sie.
Dlaczego?	Kaj?
Poleciwszy Scrooge'owi, by trzymał się silniej jego opończy, uniósł go w powietrze.	Scrooge zamruczoł, iże nic, a prosiōł ducha, coby go kludziōł kaj chce.
— Nie mogę — odrzekł duch. — Pociecha przychodzi z innych sfer, Ebenezerze Scrooge, bywa przysyłana przez innych posłańców, innym rodzajom ludzi.	– Żŏdnyj pociechy niy mōm dlŏ ciebie – ôdpedzioł duch. – Je przinosi fto inszy, Ebenezerze Scrooge’u, a przeznaczōne ône sōm ludziōm inszym aniżeli ty.
— Gdzież nasza Marta? — zapytał Bob Cratchit, rozglądając się po pokoju.	– Kaj to Marta je? – krziknōł Bob Cratchit i ôbejzdrzoł sie naôbkoło.
Gdy ta melodia zabrzmiała, wszystko, co Scrooge'owi przypomniał Duch Wigilijnej Przeszłości, stanęło mu teraz przed oczami.	Przi tym klangu muzyki, wszyjskich rzeczach, co mu mŏra pokŏzała, Scrooge miynknōł corŏz barzij i myśloł sie, keby mōg ino posuchać takigo czegoś wczaśnij, moc lŏt do zadku, to możno by bōł barzij szczodliwy ku swojij włŏsnyj radości i bez trefianiŏ sie z duchym ôd Jakōba Marleya.
Scrooge obejrzał skwapliwie swoją osobę, obawiając się, czy nie ujrzy dokoła niej pięćdziesięciu lub sześćdziesięciu metrów żelaznego powroza; lecz jakoś nic podobnego nie dostrzegł.	Scrooge wejzdrzoł na zŏl naôbkoło, choby chcioł dojzdrzeć tã swojã ketã, ale niy widzioł nic.
— Jak prędko podróżujesz? — badał Scrooge.	– Wartko rajzujesz? – pedzioł Scrooge.
— Nie spotykałeś nigdy na drodze swego życia młodszych członków mojej rodziny?	– Nigdy żeś niy łaziōł ze żŏdnym ze mojij familije; znaczy ze mojimi starszymi bratami, co sie narodziyli we ôstatnich latach? – naciskała mŏra.
Z chodników i z dachów zmiatano śnieg, który rozsypywał się w powietrzu, tworząc sztuczną śnieżycę, ku niemałej uciesze igrających na ulicy dzieci.	Kōntrastowały ze gładkōm warstwōm śniegu na dachach i ze czŏrniyjszym śniegym na ziymi, zmaraszōnym i potniyntym kołami fōrōw i kolasōw w kolaje, co krziżowały a krziżowały sie ze sobōm sto razy, kaj wielke ulice sie rozłaziyły w roztōmajte strōny i robiyły zamotlane kanały, ciynżke do śledzyniŏ we rubym, żōłtym marasie i lodowatyj wodzie.
Scrooge zrobił więcej niż obiecał.	Scrooge zrobiōł, co mu było padano i chyciōł sie mocno.
Biedny Mały Tim.	A, biydny mały Tim!
— Cóż znowu!	– Już wiym!
— Co, synku? — ozwała się matka, którą dusiły łzy…	— Co, synku? — prawiyła matka, co jōm dowiyły płaczki…
— Ani słowa o tym — przerwał Scrooge — bardzo pana proszę, niech to zostanie między nami.	– Nic niy gŏdejcie, proszã wŏs – przerwoł mu Scrooge. – Nawiydźcie mie.
Przecież to wieczór wigilijny, Dick!	Wilijŏ je, Dick.
Dlaczego widok ich sprawiał mu niewypowiedzianą radość?	Jak bardzo bōł rŏd ich widzieć!
— Życzę sobie, aby mnie zostawiono w spokoju — rzekł Scrooge. — Skoro mnie panowie pytacie o moje życzenia, oto jest odpowiedź.	– Chcã, cobyście mi dali pokōj – pedzioł Scrooge. – Jak już mie pytŏcie, co jŏ chcã, to to je to.
III.	ZWROTKA III
— Przez cały ten czas — znów potakiwał duch. — Bez wytchnienia, bez odpoczynku, a przy tym ustawiczne wyrzuty sumienia, niewypowiedzianie straszne tortury!	– Porzōnd – pedzioł duch. – Bez dychniyńciŏ, bez pokoju.
Gdy widmo zbliżało się do Scrooge'a, ten upadł przed nim na kolana, ponieważ zdawało mu się, że przybysz roztacza dokoła coś tajemniczego, posępnego i groźnego.	Kej bōł blisko, Scrooge klynknōł na kolano przed nim, bo we lufcie, co bez niego mŏra przełaziyła, zdały sie roztopiyrzać mrokew i tajymnica.
— Witam pana — mówił jeden z mich — jakże zdrowie?	– Jak sie chowiecie? – pedzioł jedyn.
— Zdaje się, Fredziu, że on jest bardzo bogaty — zauważyła żona. — Przynajmniej ty zawsze mi tak mówisz.	– Zicher żech je, iże ôn je fest bogaty, Fred – prawiyła ôna – ty mi to dycki gŏdŏsz.
Zrobiło się ciemno i począł padać gęsty śnieg.	Pogoda była zimnŏ i smutnŏ, a mgła rubŏ.
Czuł, że obudził się o właściwej porze i w tym wyraźnym celu, aby odbyć konferencję z drugim gościem, przysłanym mu przez Jakuba Marleya.	Zdŏwało mu sie, że prziszoł do siebie gynau we tym mōmyncie skuli nadchodzōncego sie trefu ze drugim posłańcym ôd Jakōba Marleya.
W tym wszystkim nie było nic szczególnego, a tym bardziej nic arystokratycznego.	Niy było nic niyôbyczajnego w tym wszyjskim.
Zaczęło się od tego, że Marley umarł.	Marley bōł umarty, ôd tego trza zaczōńć.
Ha, ha, ha!	Ha, ha!
Ale to zmieszało Scrooge'a jeszcze więcej.	Ale Scrooge’owi sie skuli tego zrobiyło gorzij.
Bruzdy owe krzyżowały się w najrozmaitszych kierunkach, tworząc istny labirynt wąskich kanałów w brunatnym, z wierzchu zakrzepłym błocie i w przemienionej w lód wodzie.	Kōntrastowały ze gładkōm warstwōm śniegu na dachach i ze czŏrniyjszym śniegym na ziymi, zmaraszōnym i potniyntym kołami fōrōw i kolasōw w kolaje, co krziżowały a krziżowały sie ze sobōm sto razy, kaj wielke ulice sie rozłaziyły w roztōmajte strōny i robiyły zamotlane kanały, ciynżke do śledzyniŏ we rubym, żōłtym marasie i lodowatyj wodzie.
I.	Ja.
Co pan sobie myśli?	– Czymu niy wierzisz swojim zmysłōm?
Tu widziałeś ogromne, pękate kosze wspaniałych kasztanów, przypominające swoją wypukłością brzuchy starych smakoszów.	Wielke, kulate kosze z kasztanami, co miały takõ formã jak westy ôd zŏcnych starszych panōw, co to wytŏczali sie przed dźwiyrza ze swojim ściykłym bogajstwym.
— Wybacz mi zbyt śmiałe może pytanie — rzekł Scrooge, patrząc uparcie na dolny brzeg opończy Ducha — lecz spostrzegam pod twoją szatą coś dziwnego, co nie należy do ciebie.	– Przebŏcz mi, jeźli niy mogã spytać – pedzioł Scrooge i dziwoł sie na mŏrzin klajd – ale coś dziwnego widzã spod twojich szŏt.
Pójdzie, bywało, do boru za bydłem albo z dwojakami na jagody, to się wróci bez jagód i mówi szepleniąc:	Szoł, bywało, do boru za gadzinōm abo z dwojokami na jagody, to sie wrōciōł bez jagōd i bebloł:
— Czy to twoje dzieci?	– Ftoś ty je?
— Czy jest aż tak piękna?	— Je, jakŏ ôna piyknŏ!
Chodźmy.	Pōdź, idymy!
Wielu Scrooge znał dobrze za ich życia.	Moc Scrooge znoł za jejich żywa.
Podwórza i korytarze nieprawdopodobnie wąskie, zagnojone, wydawały zabijający zaduch, dostrajały się do zezwierzęconej ludności, która tu się roiła.	Drōgi były ôszkliwe i ciasne, sklepy i chałpy liche, ludzie łaziyli po pōłnagu, ôżarci, niyôkludni, żadni.
— A jednak coś się dzieje? — powtórzył Duch.	– Jeszcze jedno! – krziknōł duch.
— A teraz, Joe, zajrzyj do mojego tłumoka — rzekła posługaczka.	– No to ôtwōrz terŏz mōj miech, Joe – pedziała piyrszŏ baba.
Tegoż dnia, gdy zmierzch zapadł, przywiązała czarownica do ramy okiennej obcięte warkocze, gdy zaś królewicz przybył i zawołał:	W tyn sōm dziyń ale, kej ôna wypyńdziła Repōnczkã, czarownica na wieczōr przimocowała ôdetniynte warkocze do klamki we ôknie, a kej prziszoł krōlōw syn i zawołoł:
Mogłybyśmy z niego zrobić stangreta.	Zrobiymy ś niego kuczera.
Nigdy nie mieliśmy żadnej sprzeczki, do której ja dałbym powód.	Nigdy my sie niy wadziyli.
Początkowo Roszpunka przeraziła się bardzo, gdy ujrzała obcego mężczyznę, ale królewicz przemówił do niej życzliwie, wyznając, iż śpiew jej tak wzruszył jego serce, że nie mógł znaleźć chwili spokoju.	Na poczōntku Repōnczka moc sie przestraszyła, kej dō nij weszoł człowiek, co go jeji ôczy jeszcze nigdy niy widziały, ale krōlōw syn wziōn ś niōm ôzprawiać przijaźnie i pedzioł jij, że jego serce tak sie poruszyło, iże niy dŏwŏ mu pokōj i musioł jã ôbŏczyć.
